book_title,book_sell_cat,book_url
Ehd e Risalat k Muhadaseen karam,Islamic Books,https://gufhtugu.com/ehd-e-risalat-k-muhadaseen-karam/
Ehsaas – احساس,History U,https://gufhtugu.com/ehsaas/
Ertugrul Ghazi – Delux – ارطغرل غازی ۔ ڈیلکس,History U,https://gufhtugu.com/ertugrul-ghazi-delux/
Esrar ul zakat,Books Under 750PKR,https://gufhtugu.com/esrar-ul-zakat/
Faghan e Darwesh,Books Under 750PKR,https://gufhtugu.com/faghan-e-darwesh/
Farishton k Ajeeb Halat,Islam U,https://gufhtugu.com/farishton-k-ajeeb-halat/
FAZAIL DUROOD SHAREEF,Islamic Books,https://gufhtugu.com/fazail-durood-shareef/
Fazail e amal,Islamic Books,https://gufhtugu.com/fazail-e-sahaba/
Fazail e Namaz,Islamic Books,https://gufhtugu.com/fazail-e-namaz/
FAZAIL HAJ (URDU),Islamic Books,https://gufhtugu.com/fazail-haj-urdu/
FAZAIL RAMADAN,Islamic Books,https://gufhtugu.com/fazail-ramadan/
FAZAIL-E-SADAQAT (URDU),Islamic Books,https://gufhtugu.com/fazail-e-sadaqat-urdu/
Film TV VCR,Books Under 750PKR,https://gufhtugu.com/film-tv-vcr/
Fiqah E Umar – فقہ عمر,Islamic Books,https://gufhtugu.com/fiqah-umar/
Fitna Inkar e Sunnat (Delux) – فتنہ انکار سنت (ڈیلکس),Islam U,https://gufhtugu.com/fitna-inkar-e-sunnat-delux/
Fuyuz Yazdani Tarjama al-Fath al-Rabbani,Autobiography U,https://gufhtugu.com/fuyuz-yazdani-tarjama-al-fath-al-rabbani/
Gana Bajana Quran Aur Hadees Ki Roshni Main,Books Under 750PKR,https://gufhtugu.com/gana-bajana/
GHAZWAT AL-NABI (URDU),Islamic Books,https://gufhtugu.com/ghazwat-al-nabi-urdu/
Ghazwat ur Rasool – غزوات الرسول,Books Under 750PKR,https://gufhtugu.com/ghazwat-ur-rasool/
Gulistan e Mominaat,Islamic Books,https://gufhtugu.com/gulistan-e-mominaat/
Gulistan e Saadi,Islamic Books,https://gufhtugu.com/gulistan-e-saadi/
Gumshuda Islami Tareekh – گمشدہ اسلامی تاریخ,History U,https://gufhtugu.com/gumshuda-islami-tareekh/
Hafiza or Zahanat k herat angaiz waqiat,Islamic Books,https://gufhtugu.com/hafiza-or-zahanat-k-herat-angaiz-waqiat/
Hamaqat or Usk Shikaar,Islamic Books,https://gufhtugu.com/hamaqat-or-usk-shikaar/
Hamaray Huzoor(saw) – ہمارے حضور,Islam U,https://gufhtugu.com/hamaray-huzoorsaw/
Hamary Aaili Masail,Islamic Books,https://gufhtugu.com/hamary-aaili-masail/
Hayaat ul Muslameen,Books Under 750PKR,https://gufhtugu.com/hayaat-ul-muslameen/
HAYAT AL-SAHABA Set ( 1 & 2) –  ( 1 & 2) حیاۃ صحابہ,Book Sets,https://gufhtugu.com/hayat-al-sahaba/
Hayat Esaa (AS),Books Under 750PKR,https://gufhtugu.com/hayat-esaa-as/
Hayat Syedna Hazrat Eesa (A.S) – حیات سیّدنا عیسیٰ,History U,https://gufhtugu.com/hayat-hazrat-eesa-a-s/
Hazrat Adam & Eve,English Literature,https://gufhtugu.com/hazrat-adam-eve/
Hazrat Ali RA k faisley,Books Under 750PKR,https://gufhtugu.com/hazrat-ali-ra-k-faisley/
HAZRAT JUNAID BAGHDADI,Biography U,https://gufhtugu.com/hazrat-junaid-baghdadi/
HAZRAT JUNAID BAGHDADI(حضرت جنید بغدادیؒ),Biography U,https://gufhtugu.com/hazrat-junaid-baghdadi-2/
Hazrat Noman(RA) Ki Zarafat,Books Under 750PKR,https://gufhtugu.com/hazrat-nomanra-ki-zarafat/
Hazrat Nooh or Bari Kashti,Books Under 750PKR,https://gufhtugu.com/hazrat-nooh-or-bari-kashti/
Hazrat Saeed Bin Aamir Ki Qanaat,Books Under 750PKR,https://gufhtugu.com/hazrat-saeed-bin-aamir-ki-qanaat/
Hazrat Salih (AS) or Bari Ontani,Books Under 750PKR,https://gufhtugu.com/hazrat-salih-as-or-bari-ontani/
Hazrat Salman Farsi,Biography U,https://gufhtugu.com/hazrat-salman-farsi-2/
Hazrat Saubia Rasool Akram(saw) ki Razayi Walidah,Books Under 750PKR,https://gufhtugu.com/hazrat-saubia-rasool-akramsaw-ki-razayi-walidah/
Hazrat Suleman (A.S) or Hud Hud,Books Under 750PKR,https://gufhtugu.com/hazrat-suleman-a-s-or-hud-hud/
Hazrat Umer bin Abdul Aziz,Islam U,https://gufhtugu.com/hazrat-umer-bin-abdul-aziz/
Hifazat Ul Imaan,Books Under 750PKR,https://gufhtugu.com/hifazat-ul-imaan/
Hikayat e Auliya – حکایات اولیا,Islam U,https://gufhtugu.com/hikayat-e-auliya/
Hindustani Qaida,Islamic Books,https://gufhtugu.com/hindustani-qaida/
How to say your prayers,Books Under 750PKR,https://gufhtugu.com/how-to-say-your-prayers/
HUJJATULLAH AL-BALIGHA,Islamic Books,https://gufhtugu.com/hujjatullah-al-baligha/
Hum Namaz kese parhain,Books Under 750PKR,https://gufhtugu.com/hum-namaz-kese-parhain/
Hum rishwat kuu na lain,Islamic Books,https://gufhtugu.com/hum-rishwat-kuu-na-lain/
Huzoor(SAW) ne farmaya,Books Under 750PKR,https://gufhtugu.com/huzoorsaw-ne-farmaya/
Ibtadayi Falkiyat,Books Under 750PKR,https://gufhtugu.com/ibtadayi-falkiyat/
Ijaz Ul Quran,Books Under 750PKR,https://gufhtugu.com/ijaz-ul-quran/
