book_title,book_sell_cat,book_url
Taleemi Jaiza or Jaiza kar,Educational U,https://gufhtugu.com/taleemi-jaiza-or-jaiza-kar/
Tareekh e Khan Jahani o Makhzan e Afghani,Flash Sale,https://gufhtugu.com/tareekh-e-khan-jahani-o-makhzan-e-afghani/
Tareekh e Mubarak Shahi,Flash Sale,https://gufhtugu.com/tareekh-e-mubarak-shahi/
Tashreehi Lughat,Flash Sale,https://gufhtugu.com/tashreehi-lughat/
Tawanai,Educational U,https://gufhtugu.com/tawanai/
Teef Beni,Educational U,https://gufhtugu.com/teef-beni/
Tehreek e Pakistan – ibtada o irtaqa,Flash Sale,https://gufhtugu.com/tehreek-e-pakistan-ibtada-o-irtaqa/
Thermodynamics,Educational U,https://gufhtugu.com/thermodynamics/
Tractor ki dekh bhal or Amomi muramat,Educational U,https://gufhtugu.com/tractor-ki-dekh-bhal-or-amomi-muramat/
Transgenic Podey,Educational U,https://gufhtugu.com/transgenic-podey/
Urdu Mutaradifat,Educational U,https://gufhtugu.com/urdu-mutaradifat/
Urdu Science Encyclopedia -1,Educational U,https://gufhtugu.com/urdu-science-encyclopedia-1/
Welding – Gas & Electric,Educational U,https://gufhtugu.com/welding-gas-electric/
Zalzaly Atal hain,Educational U,https://gufhtugu.com/zalzaly-atal-hain/
Zaray e Amdoraft,Educational U,https://gufhtugu.com/zaray-e-amdoraft/
Zia Betis Control Kijye,Books Under 750PKR,https://gufhtugu.com/zia-betis-control-kijye/
Zuban Lehjy or Lasani Rishty,Educational U,https://gufhtugu.com/zuban-lehjy-or-lasani-rishty/
