Book_name,Description,Category,Tags,Rating
Mareekh,"Author: Jamil Ahmad
Price:200/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Mas’ar ul Amraa,"Author: Samsam Daula Shahnawaz Khan/ Muhammad Ayyoub Qadri
Price:1000/-","Categories: Flash Sale, History U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Masnoi Siyarchy,"Author: Mubashir ul Haq Abbasi
Price: 130/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Maweshion k umoor,"Author: Professor  Dr. M Maqsood
Price: 300/-","Categories: Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Medical Emergency main Homeopathic Ilaj,"Author: Dr. Abul Waheed
Price: 500/-","Categories: Books Under 750PKR, Flash Sale, Health, Mix, Urdu Science",no-tag,no-rating
Misali Talib e Ilm,"Author: Meerza Adeeb
Price: 50/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Mojain or Ehtazazat,"Author: Majlis e Musannfeen
Price: 150/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Motor Winding,"Author: Syed Abeer Hussain Naqvi
Price: 150/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Muajid Khawateen,"Author: Dr. Fakhrah Noreen
Price: 650/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Muntakhib Almi mazahiya Kahanian,"Author: Abul Farah Hamayun
Price: 700/-","Categories: Afsanay U, Classics, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Muslim Youth Science and Islam,"مصنف:  نضال قسوم 
مترجمین:  یوسف، صادقہ خان۔ 
نظر ثانی وادارت:  علیم احمد۔","Categories: Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Mix, Technical, Urdu Literature, Urdu Science","Tags: islamic book, Muslim Youth Science and Islam",no-rating
Naqris or Ganthiya,"Author: Robina Goindi / Zahidah Hameed
Price: 125/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Natamam Kainaat,"Author: Niaz Ahmad Sufi
Price: 360/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Nigarish e Rangeen k Tareeqy,"Author: Sumayya Mariyam Hafeez/ Farkhanda Jabeen
Price: 60/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Nuclei Tawanai or Atom Bomb,"Author: Arbab Abdul Wakil
Price: 50","Categories: Books Under 750PKR, Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Operational Amplifier Circuits,"Author: Ameer Saif Ullah Saif
Price: 70/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Pakistan k Hayatiyati Mantaqay or Nizam-1,"Author: Zahid Baig Mirza
Price: 400/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Pakistan k Hayatiyati Mantaqay or Nizam-2,"Author: Zahid Baig Mirza
Price: 400/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Pani – Hamari Zindagi,"Author: Zulfiqar Ali
Price: 120/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Pashtu Zaban ki Tareekh,"Author: Shagufta Tahir
Price: 210/-","Categories: Flash Sale, History U, Urdu Literature, Urdu Science",no-tag,no-rating
Qanoni Lughat,"Author: Munawar Ahmad
Price: 320/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Radio Falikyat,"Author: Mubashir ul Haq Abbasi
Price: 150/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Saljok Nama,"Author: Muhammad Zakriya Mayal
Price: 200/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Science braye Salamati,"Author: Faizan Ullah Khan
Price:300/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Seerah ul Aulia,"Author: Ameer Khurd
Translator: Ejaz ul Haq Qudosi
Price: 1000/-","Categories: Flash Sale, History U, Islam U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Servicing and Monitor repair of Tractor,"Author: Abdul Waheed Zafar/ Muhammad Khalid Mehmood
Price: 130/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Shaksiyat or Libaas,"Author: Saeedah Ghani
Price: 90/-","Categories: Books Under 750PKR, Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Shandaar design,"Author: Stephen Hawking
Translator: Sadiq Khan
Price: 400/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Surgery – 1 taruf,"Author: Dr. Saleem Ur Rehman
Price: 50/-","Categories: Books Under 750PKR, Educational U, Urdu Literature, Urdu Science",no-tag,no-rating
Taleemi Jaiza or Jaiza kar,"Author: Muhammad Rafique Waraich
Price: 200/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Tareekh e Khan Jahani o Makhzan e Afghani,"Author: Khawaja Nemat Ullah Harvi
Translator: Dr. Muhammad Bashir Hassan
Price: 800/-","Categories: Flash Sale, History U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Tareekh e Mubarak Shahi,"Author: Yahya Bin Ahmad Sirhindi/ Dr. Aftab Asghar
Price: 250/-","Categories: Flash Sale, History U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Tashreehi Lughat,"Author: Dr. Jamil Ur Rehman
Price: 500/-","Categories: Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Tawanai,"Author: Faizan Ullah Khan
Price: 100/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Teef Beni,"Author: Dr. Abdul Ahad/Shaista Hassan
Price: 225/-","Categories: Educational U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Tehreek e Pakistan – ibtada o irtaqa,"Author: Irshad Shakir Awan
Price:425/-","Categories: Flash Sale, History U, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Thermodynamics,"Author: Professor Hameed Askari
Price: 40/-","Categories: Educational U, Emerging Technologies, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Tractor ki dekh bhal or Amomi muramat,"Author: Abdul Waheed Zafar/ Muhammad Khalid Mehmood
Price: 135/-","Categories: Educational U, Flash Sale, Urdu Literature, Urdu Science",no-tag,no-rating
Transgenic Podey,"Author: Dr. Khawaja Abdul Mujeeb
Price: 490/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Urdu Mutaradifat,"Author: Ehsan Danish
Price: 400/-","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Urdu Science Encyclopedia -1,"Author: Khalid Iqbal Yasir/ Jamil Ahmad/Zahida Hameed
Price: 6000/-","Categories: Educational U, Mix, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Welding – Gas & Electric,"Author: Fazal Ghani
Price: 100/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Zalzaly Atal hain,"Author: Naseer Ahmad Cheema
Price: 120/-","Categories: Educational U, Urdu Literature, Urdu Science",no-tag,no-rating
Zaray e Amdoraft,"Author: A Hameed
Price: 60/-","Categories: Educational U, Technical, Urdu Literature, Urdu Science",no-tag,no-rating
Zia Betis Control Kijye,"Author: Dr. Muhammad Saleem Farooqi
Price: 100/-","Categories: Books Under 750PKR, Health, Mix, Technical, Urdu Science",no-tag,no-rating
Zuban Lehjy or Lasani Rishty,"Author: Sajjad Baloch
Price: 380","Categories: Educational U, Flash Sale, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
