Book_name,Description,Category,Tags,Rating
Kamyabi k Jadoi Asraat,"Author: F. OSs
Price: 200/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Kamyabi ka encyclopedia,"Author: Dale Carnegie
Price: 1000/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Kazaak,"Author: Leo Tolstoy
Translator: Khadija Azeem
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Khush kismati kia hy?,"Author: Gary Smith
Translator:  Ameer Khan Hikmat
Price: 750/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
KITAB E UMEED,"Author: MARK MANSON
Translator: Nasir Farooq
Language: Urdu
Price: 400/-","Categories: Classics, Flash Sale, Mix, Urdu Literature",no-tag,no-rating
Lahore: A Sentimental Journey,"Author: Pran Nevile
Price: 495/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Mabaad Theory,"Author: Terry Eagleton
Translator: Tariq Kamran
Price: 800/-","Categories: Afsanay U, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Manjh ro peet,"Author: Franz Kafka
Translator: Ammar Iqbal
Language: Urdu
Price: 200/-","Categories: Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Matam Aik Aurat ka – ماتم ایک عورت کا,"Author: Asif Farkhi
Price: 400/-","Categories: Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Matli,"Author: JEAN-PAUL SARTRE
Translator: SHAUKAT NAWAZ NIAZI
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Muntakhib Almi mazahiya Kahanian,"Author: Abul Farah Hamayun
Price: 700/-","Categories: Afsanay U, Classics, Mix, Urdu Literature, Urdu Science",no-tag,no-rating
Muqadma,no-description,"Categories: Books Under 750PKR, Classics, Novel U, Urdu Literature",no-tag,no-rating
Novel ka fun,"Author: E. M. Forster
Translator: Abul Kalam Qasmi
Price:400/-","Categories: Books Under 750PKR, Classics, Educational U, Mix, Novel U, Urdu Literature",no-tag,no-rating
Orient Express,"Author: Agatha Christie
Translator: Yaqob Yawar
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
PAHARON KI FARYAD,"Author: KHALED HOSSEINI
Price: 750/-","Categories: Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
PAPILLON,"Author: HENRI CHARRIERE
Translator: Yaqob Yawar
Price: 900/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Pehchan,"Author: Milan Kundera
Translator: Muhammad Umer Memon
Language: Urdu
Price: 250/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
"Pink: The History of a Punk, Pretty, Powerful Color",by Valerie Steele,"Categories: Classics, Educational E, Mix, Women Books",no-tag,no-rating
Qalb-E-Zulmaat,"Author: Joseph Conrad
Language: Urdu
Price: 199/-","Categories: Books Under 750PKR, Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
Rehmdilana Zindagi Guzarny k 12 usool,"Author: Karen Armstrong
Translator: Rehan Umer
Price: 450/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Psychology U, Urdu Literature",no-tag,no-rating
Roshni ke Jangju,"Author: PAULO COELHO
Price: 300/-","Categories: Books Under 750PKR, Classics, Novel U, Personal development, Urdu Literature",no-tag,no-rating
Saain ki Dua,"Author: Hajiyani Sabatowana Marvi
Price: 500/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Sawanih Ibn e Arabi – سوانح ابن عربی,"Author: Kamran Azam Suhdarwi.
Price: 1800/-","Categories: Classics, Flash Sale, Islamic Books, Mix",no-tag,no-rating
Schizophrenia,"Author: Dr. Khalid Sohail
Price: 200/-","Categories: Books Under 750PKR, Classics, Novel U, Urdu Literature",no-tag,no-rating
Shandaar Kamyabi,"Author: Orison Swett Marden
Translator: Hadi Asad
Price: 300/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Shaoor o Ehsas,"Author: Jane Austen
Language: Urdu
Price: 500/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Sidaarth,"Yaqob Yawar
Language: Urdu
Price: 250/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
St. Petersburg,"Translator:  Yaqub Yawar
Language: Urdu
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Stoner,"Author: John Edward Williams
Translator:  Syed Saeed Naqvi
Language: Urdu
Price: 600/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
Sufaid Qilla,"Author: Orhan Pamuk
Translator: Muhammad Umer Ameen
Price: 400/-","Categories: Books Under 750PKR, Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
SUNEHRI ANKHON WALI LARKI,"Author: HONORE DE BALZAC
Translated By;  RAUF KLASRA
Language: Urdu
Price: 600/-","Categories: Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
Taraqqi Apki Muntazir hy,"Author: Muhammad Ibrahim Khan
Price: 400/-","Categories: Books Under 750PKR, Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
TARAS BULBA,"Author: NIKOLAI GOGOL
Translator: KHAEEQ ANJUM
Language: Urdu
Price: 200/-","Categories: Classics, Flash Sale, Novel U, Urdu Literature",no-tag,no-rating
TAREEK RAAHON KAY MUSAFIR,"Author: HONORE DE BALZAC
Translated By;  RAUF KLASRA
Language: Urdu
Price: 900/-","Categories: Classics, Mix, Novel U, Urdu Literature",no-tag,no-rating
The Young Dancer,Darcey Bussell Royal Ballet,"Categories: Classics, Educational E, Mix",no-tag,no-rating
Tofan Bahar,"Author: Ivan Turgenev
Translator: Makhmor Jalandhari
Price: 400/-","Categories: Classics, Flash Sale, Mix, Novel U, Urdu Literature",no-tag,no-rating
