Book_name,Description,Category,Tags,Rating
Double Daaj,"Author: Mazhar Kaleem MA
Price: 320/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Double Lock,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Double Mission,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Double Target,"Author: Mazhar Kaleem MA
Price: 330/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Dozakhi Mujrim,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
E City,"Author: Mazhar Kaleem MA
Price: 175/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Easy Mission,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ek Tha Algorithm-ایک تھا الگورتھم,Pages: 280,"Categories: Best Selling, Books Under 750PKR, Children's Books, Emerging Technologies, Gufhtugu Publications, Kids Kahaniyan, Mix, Our Authors, SciFi, Technical, Zeeshan ul Hassan Usmani",Tag: Ek Tha Algorithm,Rated 5.00 out of 5 based on 1 customer rating
Farebi Mujrim,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Fight Plus,"Author: Mazhar Kaleem MA
Price:200/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Fighting Mission,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
File ka Intaqam,"Author: Ishtiaq Ahmed
Price: 480/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Final Game,"Author: Mazhar Kaleem MA
Price: 350/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Fraud,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Gaind ka Tofan,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ghaar ka Samandar,"Author: Ishtiaq Ahmed
Price: 750/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ghalat Admi,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Gharelo Shikar,"Author: Ishtiaq Ahmed
Price: 300/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ghulam Wadi,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ghulami ka samandar,"Author: Ishtiaq Ahmed
Price: 400/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Golden Kolok,"Author: Mazhar Kaleem MA
Price: 125/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Golden Sand,"Author: Mazhar Kaleem MA
Price:275/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Golden Spot,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Grand Victory,"Author: Mazhar Kaleem MA
Price: 125/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Great Falls,"Author: Mazhar Kaleem MA
Price: 130/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Great Mission Part 2,"Author: Mazhar Kaleem MA
Price: 75/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Group Fighting,"Author: Mazhar Kaleem MA
Price: 125/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Harakari,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Harch,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hard Agency,"Author: Mazhar Kaleem MA
Price: 175/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hard Reback – Part II,"Author: Mazhar Kaleem MA
Price:100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hard Target part 1 and 2,"Author: Mazhar Kaleem MA
Price:  300/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hatim ka Bacha,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hazar Saal ka Shehr,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hi Fi,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
High Victory,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Himalaya Se Buland Sazish – ہمالیہ سے بلند سازش,"Author: IFTIKHAR AZAM
Translator: MAHBOOB KASHMIRI
Pages: 344
Price: 995/-","Categories: New Arrivals, SciFi, Urdu Literature",no-tag,no-rating
Hot Rays,"Author: Mazhar Kaleem MA
Price: 100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Hungamo ka Sher,"Author: Ishtiaq Ahmed
Price:170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Ijaad ka Khoon,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Imran ki Wapsi,"Author: Ishtiaq Ahmed
Price: 300/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Imran Series by Mazhar Kaleem MA Complete Set,Author: Mazhar Kaleem MA,"Categories: Book Sets, Mazhar Kaleem MA, Mix, Novel U, SciFi, Urdu Literature",Tag: Imran Series,no-rating
Insani Kunwan,"Author: Ishtiaq Ahmed
Price:170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Insharja ka Jasos,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Inspector Jamshed ka Aghwa,"Author: Ishtiaq Ahmed
Price: 300/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Jazeeray ka Samandar,"Author: Ishtiaq Ahmed
Price: 590/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Jewish Channel,"Author: Mazhar Kaleem MA
Price: 150/-","Categories: Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Jurm ki Lari,"Author: Ishtiaq Ahmed
Price: 300/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Kaala Chor,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Kahani k Mujrim,"Author: Ishtiaq Ahmed
Price:","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Kaise Kaise Saanp,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Kala Kuan,"Author: Ishtiaq Ahmed
Price: 170/-","Categories: Ishtiaq Ahmed, Novel U, SciFi, Urdu Literature",no-tag,no-rating
Karika,"Author: Mazhar Kaleem MA
Price:100/-","Categories: Books Under 750PKR, Mazhar Kaleem MA, Novel U, SciFi, Urdu Literature",no-tag,no-rating
